id	Gcnf	Cdx2	Gata6	Pbx1	Klf4	Nanog	Oct4	Oct4-Sox2	Sox2
0	-0.276754	1.371233	0.443504	-0.241757	-1.542589	-0.385339	-1.253059	-1.012288	-1.125906
1	0.148553	1.085334	-0.918012	-0.686852	-1.401907	-0.478778	-1.018639	-1.701477	-1.368201
2	1.899501	1.224618	1.453510	-2.120123	-1.999809	-1.348982	-1.534135	-1.270622	-0.147123
3	0.692360	0.261994	0.971632	-1.001913	-1.547722	-1.476210	-0.560482	-1.197099	-1.600915
4	1.174590	0.925242	1.246317	-0.725207	-0.810983	-0.982108	-1.071893	-1.330467	-1.599272
5	0.856019	1.358151	0.769552	-0.320039	-1.414359	-1.702224	-0.940355	-0.739544	-1.072773
6	0.539458	0.832641	0.848336	-0.591589	-1.036762	-1.035184	-0.289113	-1.342062	-1.944772
7	-1.293041	-1.129418	-1.330110	1.124357	1.191967	1.252182	0.991835	1.532684	1.321866
8	1.382644	1.131103	0.572822	-0.659060	-1.253165	-1.177670	-1.495634	-0.848664	-0.128247
9	1.618079	1.141839	1.588485	-0.884491	-0.478327	-1.585632	-1.790312	-1.609072	-2.280532
10	0.979257	1.172990	0.565558	-0.931638	-1.203139	-0.408519	-1.760170	-1.026186	-1.207033
11	-0.674292	1.169258	-0.465193	-0.425878	-1.779703	-0.885631	-0.695221	-1.134125	-1.105211
12	1.683790	0.987254	0.550263	-1.198615	-0.420341	-0.909886	-1.208055	-1.559757	-0.241943
13	-0.119500	1.281823	-0.085254	-2.135127	-0.742741	-0.985421	-0.892368	-0.717593	-1.222295
14	0.802768	1.167349	-0.559977	-0.416410	-0.671662	-0.928174	-1.047055	-1.700552	-1.200680
15	0.242795	0.849750	-0.193196	-0.502076	-0.591690	-0.493908	-0.980331	-1.114339	-0.619224
16	1.084933	0.935233	1.149434	-0.556980	-1.633300	-1.971030	-1.241457	-1.297620	-0.788905
17	1.662764	1.017726	1.102212	-0.623738	-0.828392	-1.713637	-1.441776	-1.819976	-0.605984
18	1.260889	0.940608	0.589489	-0.724694	-1.609792	-0.993942	-1.262214	-1.102329	-2.053077
19	0.357283	1.358477	0.768612	-0.826999	-1.032877	-1.016589	-0.591511	-1.701968	-0.747397
20	-1.367977	-1.240482	-1.091918	0.688348	1.133655	1.019064	1.144452	1.210291	0.779856
21	-0.040105	0.650836	-1.387274	-0.525820	0.460814	0.283230	0.600301	1.384378	0.285477
22	-0.044781	-0.813704	1.629820	-0.193516	-0.683601	-1.147680	0.451381	0.139086	-1.366773
23	0.454687	0.562628	-1.660360	1.226493	-0.709877	0.855658	-0.614409	-0.858759	-2.476348
24	0.184362	-1.145838	1.492019	-0.201262	-0.727315	-0.891961	0.366716	-0.394119	-1.006922
25	1.113518	1.110897	0.793019	-1.315195	-0.917943	-2.094327	-2.293997	-1.410424	-0.516870
26	1.001044	0.867218	0.599617	-0.985764	-1.084658	-0.782695	-0.769745	-1.352513	-1.779826
27	-0.252097	-1.468332	0.636759	0.193624	0.977452	0.642916	0.977128	1.489858	1.001768
28	1.579383	0.510229	1.338232	-0.319381	-1.337323	-0.959089	-0.619261	-1.850389	-1.435632
29	0.094980	1.388498	-0.738136	0.057198	-1.318323	-0.577594	-0.406866	-1.462144	-0.063676
30	-1.698903	-1.345097	-1.330507	0.562515	0.923799	1.131098	1.192855	1.195802	0.751854
31	0.177111	0.959974	-0.478992	-1.467856	0.106954	-0.330538	-1.072589	-1.536419	-0.018194
32	1.155339	0.333720	0.805853	-0.819206	-1.295943	-0.941523	-1.033267	-1.050945	-0.912828
33	-0.893204	-0.862205	-2.136454	1.154433	0.962331	1.417361	0.753328	1.152889	0.695060
34	-0.772172	1.010346	-0.560959	-0.150843	-1.305908	-0.938304	-1.288231	-1.608314	-1.908368
35	-1.233930	-1.162537	-1.508858	1.633937	1.531689	1.416812	0.824085	1.424526	0.863159
36	1.128743	1.130922	0.763315	-0.484692	-1.030758	-1.621222	-1.051805	-1.220379	-2.525311
37	-1.767926	-1.077938	-1.713696	1.737105	1.499380	1.271678	1.172297	1.299379	1.200532
38	2.055569	0.831530	1.643672	-0.102273	-0.678206	-1.622417	-1.756712	-0.687176	-1.625391
39	-0.592558	-1.554015	1.227462	1.203181	0.961090	0.805844	1.307900	1.098851	0.932494
40	1.272358	1.047679	0.495857	-0.159997	-1.089127	-1.422296	-0.994278	-1.809344	-1.357356
41	0.611695	0.843335	0.404571	-1.569409	-1.533356	-0.877514	-1.060166	-1.924047	-0.861806
42	-1.959362	-1.223900	-1.174159	1.184542	1.434698	1.652733	1.175109	1.290570	1.119502
43	-0.000478	1.109895	0.068724	-0.192041	-0.977833	-0.299864	-0.643332	-1.075878	-2.122878
44	0.430638	1.212157	-0.431077	-0.655417	-0.960136	-0.831031	-1.088652	-0.978433	-1.877534
45	1.564254	0.708712	1.754991	-0.755421	-1.186087	-1.586497	-1.868840	-0.298831	-0.109464
46	-0.572225	0.991796	-0.969444	-1.066429	-1.245894	-1.344915	-1.139401	-1.896411	-1.108637
47	1.227280	0.708324	0.432374	-0.839451	-1.335029	-0.376327	-1.440112	-1.916190	-1.173308
48	0.686290	0.912114	-0.664167	-0.100832	-0.862221	0.129375	-0.511266	-0.755358	-2.367281
49	-0.116839	0.908740	-0.161234	-1.167571	-1.763813	-0.722854	-0.699654	-0.929942	-2.349672
50	0.875690	1.107611	0.377577	-0.161007	-0.935281	-1.477483	-1.016082	-1.358027	-1.658997
51	1.323907	0.970233	0.919143	0.474950	-1.050781	-1.678484	-1.716767	-1.337768	-0.952117
52	1.629641	0.769907	1.412147	-0.963212	-0.495897	-1.745355	-1.607377	-1.810336	-0.050406
53	-1.999098	-1.782273	-1.380482	0.609990	1.291699	1.161930	0.969903	1.045847	1.534203
54	1.258705	0.687134	1.508003	-0.677496	-0.327654	-1.887807	-1.655285	-1.630016	-1.159573
55	-0.580159	-1.253708	-1.396865	1.158548	1.267945	1.481680	1.116026	1.427478	1.350380
56	-1.169194	-1.815248	-1.654061	1.356571	1.245433	1.134419	0.917274	1.249649	0.605227
57	-0.489639	-1.796422	-1.671517	0.238121	1.517239	1.214860	0.722506	0.989057	1.234315
58	0.834658	1.271812	-0.015881	-1.780841	-1.279206	-0.442878	-1.602896	-1.559286	-2.663750
59	1.478127	0.746079	0.767575	-0.513360	-0.811893	-0.773930	-1.207027	-1.559984	-1.376448
60	-0.183152	-0.880452	1.284436	-0.440323	-0.507741	-0.804656	0.999870	0.030733	-0.612882
61	-0.909444	-2.155055	-1.354037	1.041337	1.224019	1.363883	0.997921	1.113448	1.001366
62	0.036598	0.823373	-0.487261	-0.291872	-1.745599	-0.331897	-0.636058	-1.399399	-2.618009
63	1.418469	0.978042	1.021504	-1.291110	-1.546856	-1.267994	-0.739212	-1.566108	-1.896018
64	-1.484490	-1.720388	-1.805282	0.300411	1.095723	1.271677	1.256044	1.348710	0.884363
65	1.520824	0.984443	0.648645	-1.586700	-1.540428	-1.923579	-1.279306	-1.888082	-0.757951
66	1.552661	1.150847	1.064159	-1.417989	-1.010550	-1.447258	-1.582324	-1.096205	-1.084096
67	1.129182	1.197503	0.402118	-0.566713	-0.640442	-0.833965	-1.317176	-1.056887	0.271425
68	0.534803	0.950547	-1.142209	-2.212714	-0.352313	-0.117413	-0.345439	0.739262	1.549105
69	1.415250	1.220550	0.649478	-0.832940	-1.381126	-1.292599	-1.442236	-1.107882	-0.675334
70	0.808739	1.063795	0.145418	-1.513746	-1.455627	-1.537252	-1.949641	-1.478813	-1.216729
71	-0.492261	0.919860	-1.484339	-0.905155	-1.120740	-1.608758	-0.912969	-1.141554	-0.873138
72	1.193213	0.857549	-0.293227	-1.195849	-0.864226	-1.126779	-1.340654	-1.777886	-1.042789
73	-0.054291	1.019916	-1.235606	-0.449181	-1.077085	-0.439067	-0.850948	-2.044068	0.093490
74	1.325152	0.958705	1.073540	-1.430058	-2.298172	-2.154863	-2.037861	-1.066082	-1.880236
75	1.434299	0.987356	1.309753	-0.005592	-1.957059	-1.542513	-2.046362	-1.955884	-1.182826
76	0.526380	1.211850	-1.587449	-1.461298	-1.034905	-1.086594	-0.557964	-1.308146	0.014845
77	-1.366950	-1.873049	-1.883406	1.001204	1.525339	1.370106	0.864034	1.123595	1.650727
78	1.121578	1.018425	0.936751	-0.900408	-1.309639	-1.428843	-1.519464	-0.565742	-2.396865
79	-1.356810	-1.381031	-0.993093	1.131941	1.391774	1.401984	1.337914	0.987589	1.546804
80	-1.641366	-1.380817	-1.509492	1.382334	1.360975	1.281376	1.496027	1.423741	1.093929
81	-1.140797	-0.996605	1.548645	-0.379733	-0.253685	-0.362579	0.339936	-0.134901	-0.709996
82	-0.170459	-0.567666	0.891016	0.581682	-1.405734	-0.782027	-0.192871	-0.633116	-2.480261
83	-1.054283	-1.235831	-1.996119	0.935108	1.168040	1.264379	1.376290	1.338588	1.419081
84	-1.002006	-1.592250	-1.060822	0.968878	1.211645	1.380648	1.128175	1.033708	0.897782
85	-1.305366	-1.202917	-2.123041	1.282374	0.645643	0.976493	1.065354	0.236706	-2.057683
86	1.483651	1.164748	0.753320	0.445129	-1.412741	-1.092675	-1.547023	-1.359062	-1.046307
87	-0.049028	1.011325	-1.000194	-0.097563	-0.357294	-0.950265	-0.937013	-1.382132	-0.989180
88	0.155342	1.012813	0.871192	0.161375	-0.717096	-1.743661	-0.636628	-2.099225	-1.441471
89	0.382887	0.716331	0.171145	-0.642162	-0.921883	-0.890341	-1.764174	-1.764996	-1.773889
90	0.664470	1.086729	-0.732628	-0.987714	-0.867519	-0.993220	-1.295371	-0.064011	-0.894033
91	-2.574648	-1.599330	-2.067175	0.920365	1.145782	1.428184	0.952321	0.974836	1.450029
92	0.058592	1.029671	-0.750416	-0.938036	-0.370418	-0.682893	-1.831127	-2.049981	-1.168429
93	1.736542	0.718267	0.909724	-1.441956	-1.236893	-1.844526	-1.837471	-1.124740	-0.481626
94	0.748760	1.051714	0.153655	-0.434298	-1.280135	-1.435437	-0.339119	-1.980092	-2.162899
95	0.846901	1.355488	-0.409540	-0.769451	-0.280357	-1.143975	-1.114043	-1.113729	-1.775572
96	0.181578	0.970206	-0.813335	-0.270302	-1.859280	-1.263007	-0.810699	-2.324203	-0.847833
97	1.877211	0.567628	0.755261	-1.326856	-1.781019	-0.975181	-1.082269	-1.695877	-1.284158
98	-0.275520	1.224613	-0.565519	-1.184738	-1.155320	-1.015493	-0.992489	-1.073019	-0.692152
99	0.068715	1.128150	-0.455107	-1.320526	-1.322326	-0.817906	-0.360029	-1.499102	-1.058046
100	1.272840	1.008574	0.948783	-1.207574	-0.747888	-1.706406	-1.425743	-0.459270	0.805311
101	-1.727316	-1.198328	-1.475141	1.059425	1.171155	1.214633	1.161577	1.556679	1.235983
102	1.382632	1.158069	0.996299	-2.833622	-1.316136	-1.487841	-1.583650	-0.975287	-1.220877
103	1.445702	1.026818	1.491031	-0.062110	-0.711965	-0.571853	-0.233250	-1.025982	-1.859452
104	0.702517	1.346197	1.076211	-2.168722	-1.271100	-1.819571	-0.825355	-0.674118	-0.379335
105	1.465437	1.088128	0.446265	-0.948185	-1.736240	-0.732647	-1.428708	-1.348702	-1.928969
106	-1.022735	-2.335234	-1.599732	1.622817	0.463978	1.266772	1.159979	0.742929	-0.084717
107	-1.056689	-1.088113	-0.700313	0.811918	0.525996	0.800133	1.160990	1.048166	1.139798
108	1.526646	0.843717	0.521984	-2.218240	-1.265348	-1.267670	-1.416001	-1.732143	-0.409598
109	1.084530	0.905133	0.681451	-0.944820	-0.242511	-2.113528	-1.892520	-1.955500	-1.983999
110	-0.193807	0.978003	-0.623491	-1.139587	-0.840141	-0.623605	-1.246166	-2.030892	-2.053010
111	-1.760992	-1.113558	-0.683416	-0.525466	0.656267	0.858716	1.024215	1.416114	1.143979
112	1.122856	0.876908	1.598267	-0.549803	-1.334113	-1.272229	-1.750645	-1.937504	-1.165989
113	-0.602847	1.125179	-0.056227	-1.420286	-1.116059	-1.106793	-0.828681	-0.974440	-0.647576
114	-1.412811	-0.401485	-1.574235	2.060387	1.532924	1.389950	1.028402	1.438367	0.757069
115	0.178960	1.244080	-0.761932	-0.800500	-0.832028	-1.238481	-0.780565	-1.332655	-1.690270
