Pattern,avgS,ha,hb,hc,hd,he,hf,hg,hh,hi,hj
central,2.6814,1.211827769524309,1.1659323088441464,1.1728280646806124,1.1353809584411971,1.181210694673862,1.141414873621211,9802.508125259323,9708.958241779535,9775.098629614027,9677.9626251052
gata6_down_s1,2.4574,1.1723998541857201,1.139829406217191,1.1333539188696096,1.1053256158461657,1.131966275867187,1.1072614932928544,9641.967753877692,9363.902803502937,9524.6910184035,9251.572427604739
gata6_down_s2,2.4119,1.15383636393334,1.126116241625617,1.1125094160624154,1.090690585272858,1.1142113653371377,1.0934802843460654,9801.378927705244,9470.94974301239,9689.999926134924,9362.698012473858
gata6_down_s3,2.3949,1.1469365781107013,1.117773898237428,1.100091677391574,1.0795013348563827,1.1076728428364,1.085765095426336,9885.358031747635,9556.481394051945,9779.464221607566,9452.48790032743
gata6_down_s4,2.3778,1.1402802219842862,1.1109456176557613,1.104286533024543,1.0802955475610905,1.1023213060579913,1.0793757250860025,9927.087856720147,9602.974796026978,9826.11485400668,9497.286469236422
gata6_down_s5,2.3675,1.135700604893901,1.1060697576490053,1.0891219740010716,1.0663809817075038,1.0982771836231076,1.0750993100370365,9961.130212537682,9633.392645123544,9863.867428233174,9523.551586618978
gcnf_down_s1,2.7615,1.2289984584477185,1.189341861832592,1.2069320238974555,1.1723823661327226,1.2061194348683844,1.1717863587722797,9939.099803367872,9808.240869284007,9855.147038106667,9723.075461175351
gcnf_down_s2,2.7641,1.2296446761570952,1.1951710792763879,1.205913941199074,1.1754140441479706,1.2071461523608715,1.1771579424320469,9961.479056946677,9763.193097821066,9870.35614143279,9674.3051860421
gcnf_down_s3,2.7621,1.2272154629427685,1.1984805191802297,1.2032005109519044,1.1789178700152219,1.2050833879157246,1.1798801625829898,10002.843738536872,9708.371389310858,9910.771327007431,9621.288792329604
gcnf_down_s4,2.7631,1.2251794998143626,1.2001864754624934,1.2014143890214215,1.179227384764597,1.2028563905779288,1.1816125311416779,10046.500911224712,9687.522946497864,9957.74441108536,9600.747032518504
gcnf_down_s5,2.7655,1.2233437330012689,1.2009111021814975,1.2037370516849315,1.1830312534993601,1.2007969985802864,1.1819351480248246,10087.236335415024,9691.72157065671,9997.560750790004,9605.176362841588
cdx2_down_s1,2.5896,1.2320064899650944,1.1983945914701875,1.1599122310384435,1.145964167999705,1.1626463518772119,1.1477518949208863,9070.125318538257,9223.320706479337,8633.919259304932,8765.483567713762
cdx2_down_s2,2.4195,1.2024375344805527,1.178768916030102,1.1199588746498503,1.1126398583455626,1.1227664390223648,1.1140068832273142,8390.392274576874,8602.324270400528,8063.17831831122,8247.716237818135
cdx2_down_s3,2.2929,1.1677504329887194,1.1517557457261167,1.0956834789127055,1.0916712573934668,1.0978018281684565,1.092885666960238,8021.6064708205695,8252.496365338835,7817.700965702908,8018.900611324094
cdx2_down_s4,2.2211,1.1394742218287095,1.1294141706117378,1.0762281646363303,1.0758044331691337,1.082107404920535,1.0799192604533716,7883.839155475374,8115.333204040354,7759.17529594469,7959.865934491414
cdx2_down_s5,2.1713,1.1180967866695206,1.1106275720405354,1.0681742402805756,1.06528391296014,1.0706663498221225,1.0699476960127563,7812.440717739047,8045.046787978598,7735.2108939292075,7941.868026851145
klf4_down_s1,2.6938,1.1954839657095837,1.1655599992234325,1.1627763107155793,1.1402439185456386,1.1622221266140162,1.1397262824850913,9813.10322189584,9691.016393900441,9780.436294426752,9659.51952002042
klf4_down_s2,2.6802,1.1896859730473148,1.1641894934824983,1.147773575688345,1.128458741219774,1.158251385932551,1.138466847285862,9733.667653490455,9611.32173305408,9699.704486031831,9579.944300693178
klf4_down_s3,2.6663,1.1853289282692254,1.1615133486171003,1.1557751820887523,1.1391352222455817,1.1553218833354602,1.1373912416843819,9656.2467594182,9531.759203439788,9623.62773508199,9497.053168960516
klf4_down_s4,2.6578,1.1829464640211338,1.1604016418845875,1.1510244215526475,1.134849032073881,1.1533801758851134,1.136683424554179,9607.079592206512,9482.679449134639,9575.124369305795,9447.748183715186
klf4_down_s5,2.6545,1.1803457070436194,1.1592328897829298,1.157884619005001,1.14074199011181,1.1513467224049379,1.1362414138171584,9585.890014324901,9455.134418646336,9552.77219777093,9421.20564506026
nanog_down_s1,2.667,1.184659496820072,1.1562338170523083,1.1306820343754345,1.108760456245279,1.1365951235557397,1.113634358704758,9613.700619813464,9588.535947169175,9513.47797983835,9497.92540374876
nanog_down_s2,2.6445,1.173033176763537,1.1477935934300145,1.1141559428806773,1.0956293839909517,1.1198405128842082,1.0986717101957235,9529.67422990644,9516.538083779302,9379.590273187961,9379.31084195638
nanog_down_s3,2.6182,1.1654437338759336,1.139925755914188,1.1105861578122358,1.090019219775414,1.1107018644333981,1.088130579098788,9418.45966023323,9422.58491416319,9247.052871455815,9263.10103708363
nanog_down_s4,2.6041,1.1604381298410575,1.1348876928643785,1.0988758182031615,1.077049065464705,1.1039334601039463,1.0790791381429536,9368.505295914512,9389.352289070404,9180.90944291459,9210.79509550975
nanog_down_s5,2.5896,1.157233957967602,1.1304776642960843,1.0976552300857443,1.0703443292905983,1.0991237211656097,1.0719460386891702,9314.48809085276,9344.862887756639,9117.51304558739,9160.175905410768
