Name	Actb	Ahcy	Aqp3	Atp12a	Bmp4	Cdx2	Creb312	Cebpa	Dab2	DppaI	Eomes	Esrrb	Fgf4	Fgfr2	Fn1	Gapdh	Gata3	Gata4	Gata6	Grhl1	Grhl2	Hand1	Hnf4a	Id2	Klf2	Klf4	Klf5	Krt8	Lcp1	Mbnl3	Msc	Msx2	Nanog	Pdgfa	Pdgfra	Pecam1	Pou5f1	Runx1	Sox2	Sall4	Sox17	Snail	Sox13	Tcfap2a	Tcfap2c	Tcf23	Utf1	Tspan8
1C	-1.697053	0.748305	-1.214370	-0.777432	-0.406799	-0.159344	1.103750	-0.999369	-0.772523	1.083534	-1.333091	1.128731	-0.888715	1.084555	-1.116614	-0.732649	-1.329576	1.170320	-1.071306	2.823686	-0.460572	-1.299336	1.753891	0.489848	0.447177	0.318528	-3.179093	-0.038389	-0.002626	0.270843	-0.991287	0.604762	-1.969742	0.142245	-0.277681	1.828691	0.947923	-0.431315	1.061865	1.553292	-1.006370	1.335481	-0.143022	0.187373	0.562724	-1.097383	-1.526579	0.726772
1C	-1.813571	1.006543	-2.268999	-0.654148	-0.274402	-0.984164	1.070718	-0.891206	-0.736583	1.025441	-0.646964	1.311164	-0.785408	1.041806	-0.999726	-0.650725	-1.078645	1.127461	-1.782047	2.701615	-0.188436	-0.268937	1.779710	0.402103	0.510058	0.457502	-2.978915	0.528344	0.015516	0.116135	-0.854481	-0.516999	-0.635230	0.273173	-0.780236	1.857241	0.886807	-1.418638	1.113078	1.480910	-1.402739	1.303204	0.422839	-0.670595	0.407074	-0.971243	-1.406816	0.734678
1C	-1.836431	1.042142	-1.858067	-0.731041	-0.356979	-0.880092	1.322082	-0.958668	-0.471639	1.000223	-0.973685	1.225812	-0.849841	0.980011	-1.072630	-0.397814	-1.127403	1.070879	-1.774736	2.657565	-0.620358	-1.264365	1.623799	0.540571	0.383800	0.207444	-3.103767	0.604063	0.325936	0.192706	-0.939808	0.906117	-0.815533	0.279962	-0.037003	1.767627	0.778172	-1.494629	1.106242	1.330481	-2.706836	1.290051	0.437444	0.110857	0.647574	-1.049917	-1.481513	0.523960
1C	-1.824508	1.066286	-2.139246	-0.521526	-0.131977	-0.804085	1.179220	-0.774849	-0.623554	1.047084	-0.241319	1.302655	-0.674275	1.233879	-0.873985	-0.587251	-1.361395	1.091688	-1.191924	2.701857	-0.385071	-1.106429	1.628574	0.485760	0.374187	0.573891	-2.763574	0.495575	0.064691	0.016858	-0.707311	0.583994	-0.694052	0.243598	-0.552627	1.838205	0.925792	-1.287570	1.393758	1.654250	-2.402187	1.312882	-1.563720	-0.967988	0.635724	-0.835548	-1.277982	0.557112
1C	-1.641208	0.947643	-1.322965	-0.757912	-0.385835	-1.373532	0.824991	0.083229	-0.625393	1.011892	-0.225233	1.097481	-0.872358	0.963360	-0.232544	-0.573448	-1.125926	1.154881	-1.115845	2.766206	-1.227633	-1.284621	1.335394	0.511623	0.410590	0.512705	-3.147397	0.674153	0.371972	0.038273	-0.969626	-1.014516	-1.951239	0.347603	-0.328316	1.770150	0.806973	-1.521184	1.088959	1.598654	-1.213598	1.296352	0.530904	-0.232816	0.458075	-1.077410	-1.507616	0.603258
1C	-1.723037	1.284613	-1.718401	-0.752506	-0.380029	-0.575249	0.865846	-0.977500	-0.825116	1.050322	-0.206059	1.241350	-0.867827	0.929771	-0.519444	-0.623440	-1.359255	1.160509	-1.551073	2.641752	-0.724534	-1.280546	1.250251	0.519373	0.273395	0.445997	-3.138619	0.658732	0.522446	0.555841	-0.963626	0.135045	-1.946115	0.227964	-0.147923	1.799767	0.766479	-1.515842	1.387227	1.599486	-0.854311	1.357552	-0.182419	-0.078863	0.106871	-1.071879	-1.502364	0.494352
1C	-1.705027	1.310996	-1.307512	-0.775753	-0.404995	-0.905326	0.903528	-0.997896	-1.441175	0.961229	-0.594849	1.198222	-0.887308	1.103701	-1.115021	-0.443419	-2.098386	1.022817	-1.477869	2.686713	-1.121961	-0.306046	1.437158	0.596152	0.459902	0.455742	-3.176366	0.595333	0.411164	0.362721	-0.989423	0.747727	-1.430612	0.377641	-0.360014	1.869769	0.902069	-1.538816	1.228933	1.612332	-1.497467	1.452322	0.166259	0.049471	0.117603	-1.095665	-1.524947	0.582712
1C	-1.503050	0.870682	-1.249116	-0.803204	-0.434475	-1.449097	1.231649	-1.021980	-0.810637	0.999994	-0.910995	1.253458	-0.910311	1.131794	-0.176119	-0.607448	-1.371958	1.225393	-0.819504	2.630985	-0.744272	-1.318763	1.004385	0.666398	0.276668	0.218055	-3.220938	0.490490	0.317843	0.410746	-1.019885	0.561574	-1.994170	0.473951	-0.468982	1.823278	0.672192	-0.047707	1.022541	1.793919	-1.428166	1.364346	-0.151604	-0.380671	0.294791	-1.123752	-1.551614	0.602416
1C	-1.704193	1.094225	-2.242677	-0.627244	-0.245509	-0.416609	0.998491	-0.867601	-0.863856	1.161189	-0.740463	1.245069	-0.762863	1.172315	0.015056	-0.371911	-1.315954	1.153129	-1.280664	2.642034	-0.971022	-0.246305	1.582097	0.646913	0.547441	0.410772	-2.935230	0.348441	0.318537	0.526823	-0.824625	-0.874575	-1.827383	0.113037	-0.636502	1.753465	0.812123	-1.392049	1.139624	1.456855	-0.863664	1.322007	-0.348214	-1.065076	0.648164	-0.943715	-1.380680	0.573606
2C	-1.781230	-3.122681	-0.774695	-0.550054	-0.162614	-0.436684	0.711696	-0.799878	-1.279017	0.533972	-0.576573	1.248302	1.886725	0.055159	0.888402	-0.245389	-0.966702	1.499834	-1.390980	1.678847	1.127633	-1.127934	0.982018	0.650098	0.744759	0.891523	-0.363299	-1.487391	-0.507847	-0.090542	-0.738968	-0.791907	-1.754217	-3.678210	-0.698063	1.588420	0.177184	-1.315764	0.648103	1.396490	-0.153720	1.893212	1.384831	0.486212	1.364533	-0.864737	-1.305695	0.850879
2C	-1.783846	-0.981397	-2.322943	-0.709285	-0.333614	-0.282736	1.103785	1.053565	-2.059282	0.420120	-1.277760	1.126736	2.096677	-0.079041	0.319531	-0.081519	-0.806534	1.577887	-1.453198	1.308307	1.097990	-0.389193	0.834714	0.077147	0.609299	1.067419	-0.979978	-1.604481	-0.393006	0.583379	-0.915665	-0.962438	-1.905147	-1.466960	-0.823761	1.524287	0.309678	-1.473127	0.525528	1.405677	-0.911816	1.971054	1.428829	-0.189300	1.066816	-1.027657	-0.064848	0.427364
2C	-1.645819	-1.448604	0.176570	-0.875581	-0.512202	0.001449	-0.853059	0.840188	-1.077294	0.200563	0.209339	1.431336	-0.970960	-0.658442	0.434771	0.072538	-1.077793	1.134322	-1.384708	1.837908	0.648088	-0.011074	0.923872	0.161173	0.883817	1.120469	-1.342937	-1.726767	-0.437509	0.675009	-1.100202	-1.140536	0.011114	0.094383	0.517988	1.574141	0.517588	-1.637474	1.857047	1.127991	-2.917006	1.673040	0.266970	0.302883	0.128400	-1.197806	-1.621924	0.312862
2C	-2.123545	-1.628178	-0.056635	-0.918583	-0.558382	-1.618856	-0.891468	0.888933	-2.255888	0.157194	-0.538260	1.258308	0.853021	-0.598291	0.770177	0.476303	-0.781347	1.273286	-1.669990	1.626021	0.882424	-1.405738	1.000915	-0.003444	1.000004	1.036399	-0.953641	-1.758388	-0.534816	1.027083	-1.147920	0.156018	-0.279157	0.078803	0.079243	1.397619	0.471080	-1.679972	1.372957	1.215491	0.006768	1.789438	1.232831	0.543318	0.148723	-1.241804	-1.663697	0.211589
