Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_1_1	-0.278410	0.441289	-0.241147	-1.538105	-0.380268
1_2_1	0.146148	-0.919624	-0.687930	-1.397174	-0.473575
1_3_1	1.894010	1.450849	-2.126633	-1.996131	-1.342544
1_4_1	0.688996	0.969184	-1.004185	-1.543246	-1.469592
1_5_1	1.170376	1.243747	-0.726430	-0.805207	-0.976191
1_6_1	0.852367	0.767193	-0.319726	-1.409648	-1.695285
1_7_1	0.536363	0.845942	-0.592306	-1.031385	-1.029191
1_8_1	-1.292907	-1.331540	1.130144	1.201279	1.254930
1_9_1	1.378064	0.570551	-0.660033	-1.248170	-1.171475
1_10_1	1.613084	1.585764	-0.886318	-0.471963	-1.578858
1_11_1	0.975388	0.563290	-0.933644	-1.198055	-0.403415
1_12_1	-0.675247	-0.467006	-0.425966	-1.775637	-0.879850
1_13_1	1.678680	0.548001	-1.201632	-0.413875	-0.904070
1_14_1	-0.121434	-0.087235	-2.141694	-0.736844	-0.979498
1_15_1	0.799210	-0.561747	-0.416463	-0.665640	-0.922333
1_16_1	0.240223	-0.195128	-0.502454	-0.585526	-0.488683
1_17_1	1.080877	1.146907	-0.557565	-1.628975	-1.963709
1_18_1	1.657691	1.099706	-0.624577	-0.822646	-1.706682
1_19_1	1.256523	0.587210	-0.725915	-1.605426	-0.988007
1_20_1	0.354510	0.766254	-0.828608	-1.027492	-1.010623
1_21_1	-1.367711	-1.093453	0.692482	1.142864	1.022143
1_22_1	-0.042178	-1.388678	-0.526287	0.468836	0.287353
1_23_1	-0.046846	1.627080	-0.192723	-0.677599	-1.141527
1_24_1	0.451742	-1.661643	1.232667	-0.703923	0.858969
1_25_1	0.181893	1.489341	-0.200499	-0.721391	-0.886172
1_26_1	1.109412	0.790650	-1.318654	-0.912355	-2.086832
1_27_1	0.997137	0.597334	-0.987974	-1.079365	-0.777061
1_28_1	-0.253797	0.634460	0.195883	0.986386	0.646528
1_29_1	1.574456	1.335621	-0.319066	-1.332476	-0.953204
1_30_1	0.092669	-0.739827	0.058941	-1.313442	-0.572250
1_31_1	-1.698053	-1.331937	0.566172	0.932638	1.134018
1_32_1	0.174655	-0.480798	-1.471894	0.114351	-0.325544
1_33_1	1.151160	0.803478	-0.820785	-1.291023	-0.935663
1_34_1	-0.893774	-2.137526	1.160334	0.971238	1.419875
1_35_1	-0.772955	-0.562729	-0.149889	-1.301005	-0.932448
1_36_1	-1.233900	-1.510209	1.641655	1.541601	1.419326
1_37_1	1.124610	0.760959	-0.485003	-1.025370	-1.614398
1_38_1	-1.766955	-1.714956	1.745214	1.509235	1.274398
1_39_1	2.049803	1.640926	-0.101135	-0.672195	-1.615591
1_40_1	-0.593658	1.224901	1.209267	0.969995	0.809225
1_41_1	1.267972	0.493619	-0.159077	-1.083841	-1.415754
1_42_1	0.608473	0.402374	-1.573831	-1.528854	-0.871745
1_43_1	-1.958054	-1.175658	1.190557	1.444439	1.654912
1_44_1	-0.002621	0.066675	-0.191243	-0.972351	-0.294914
1_45_1	0.427735	-0.432905	-0.656376	-0.954623	-0.825328
1_46_1	1.559354	1.752196	-0.756759	-1.180973	-1.579722
1_47_1	-0.573361	-0.971033	-1.068945	-1.240885	-1.338483
1_48_1	1.222974	0.430165	-0.841107	-1.330178	-0.371269
1_49_1	0.682937	-0.665891	-0.099688	-0.856535	0.133716
1_50_1	-0.118777	-0.163180	-1.170471	-1.759718	-0.717304
1_51_1	0.872003	0.375391	-0.160092	-0.929724	-1.470862
1_52_1	1.319430	0.916718	0.478276	-1.045428	-1.671578
1_53_1	1.624625	1.409504	-0.965337	-0.489564	-1.738355
1_54_1	-1.997719	-1.381889	0.613828	1.301188	1.164806
1_55_1	1.254344	1.505317	-0.678538	-0.321024	-1.880604
1_56_1	-0.581280	-1.398265	1.164464	1.277392	1.484102
1_57_1	-1.169278	-1.655348	1.363238	1.254840	1.137334
1_58_1	-0.490920	-1.672795	0.240549	1.527125	1.217661
1_59_1	0.831043	-0.017892	-1.786065	-1.274256	-0.437726
1_60_1	1.473379	0.765217	-0.513781	-0.806118	-0.768307
1_61_1	-0.184973	1.281850	-0.440467	-0.501429	-0.798990
