Name	Cdx2	Oct4	Oct4-Sox2	Sox2
1_1_1	1.363467	-1.256059	-1.006597	-1.126878
1_2_1	1.078081	-1.021041	-1.694920	-1.369932
1_3_1	1.217116	-1.537851	-1.264606	-0.145029
1_4_1	0.256219	-0.561714	-1.191175	-1.603374
1_5_1	0.918277	-1.074431	-1.324377	-1.601726
1_6_1	1.350409	-0.942557	-0.734195	-1.073578
1_7_1	0.825842	-0.289653	-1.335957	-1.948308
1_8_1	-1.132696	0.994563	1.535181	1.328560
1_9_1	1.123769	-1.499252	-0.843178	-0.126095
1_10_1	1.134485	-1.794682	-1.602631	-2.285119
1_11_1	1.165581	-1.764463	-1.020477	-1.208259
1_12_1	1.161855	-0.696797	-1.128281	-1.106118
1_13_1	0.980178	-1.210940	-1.553379	-0.240147
1_14_1	1.274218	-0.894447	-0.712271	-1.223568
1_15_1	1.159949	-1.049529	-1.693997	-1.201886
1_16_1	0.842921	-0.982635	-1.108520	-0.618609
1_17_1	0.928250	-1.244426	-1.291570	-0.788821
1_18_1	1.010595	-1.445257	-1.813271	-0.605327
1_19_1	0.933615	-1.265237	-1.096525	-2.056952
1_20_1	1.350735	-0.592823	-1.695412	-0.747183
1_21_1	-1.243561	1.147570	1.213193	0.784852
1_22_1	0.644363	0.602030	1.387061	0.288925
1_23_1	-0.817549	0.452730	0.143332	-1.368499
1_24_1	0.556313	-0.615779	-0.853261	-2.481548
1_25_1	-1.149087	0.367849	-0.389204	-1.007521
1_26_1	1.103599	-2.299652	-1.404233	-0.515934
1_27_1	0.860357	-0.771511	-1.346395	-1.782845
1_28_1	-1.471002	0.979819	1.492409	1.007459
1_29_1	0.504009	-0.620644	-1.843646	-1.437573
1_30_1	1.380702	-0.407707	-1.455888	-0.061321
1_31_1	-1.347988	1.196096	1.198722	0.756762
1_32_1	0.952947	-1.075128	-1.530070	-0.015697
1_33_1	0.327816	-1.035706	-1.045206	-0.913133
1_34_1	-0.865963	0.755448	1.155863	0.699790
1_35_1	1.003228	-1.291320	-1.601875	-1.911790
1_36_1	-1.165756	0.826385	1.427158	0.868416
1_37_1	1.123588	-1.054291	-1.214426	-2.530665
1_38_1	-1.081308	1.175486	1.302168	1.206845
1_39_1	0.824733	-1.760996	-0.681893	-1.627926
1_40_1	-1.556531	1.311434	1.101892	0.937969
1_41_1	1.040495	-0.996617	-1.802652	-1.359052
1_42_1	0.836517	-1.062673	-1.917212	-0.861951
1_43_1	-1.227009	1.178305	1.293370	1.125562
1_44_1	1.102599	-0.644776	-1.070107	-2.126972
1_45_1	1.204677	-1.091232	-0.972784	-1.880859
1_46_1	0.702135	-1.873410	-0.294035	-0.107253
1_47_1	0.984712	-1.142111	-1.889610	-1.109555
1_48_1	0.701748	-1.443589	-1.909364	-1.174428
1_49_1	0.905172	-0.512373	-0.749989	-2.372140
1_50_1	0.901804	-0.701241	-0.924354	-2.354476
1_51_1	1.100318	-1.018476	-1.351902	-1.661638
1_52_1	0.963187	-1.720949	-1.331668	-0.952545
1_53_1	0.763220	-1.611280	-1.803643	-0.048010
1_54_1	-1.784380	0.972575	1.048955	1.541562
1_55_1	0.680596	-1.659311	-1.623549	-1.160650
1_56_1	-1.256764	1.119071	1.430107	1.357162
1_57_1	-1.817296	0.919811	1.252501	0.609677
1_58_1	-1.798504	0.724546	0.992236	1.240735
1_59_1	1.264225	-1.606788	-1.552908	-2.669537
1_60_1	0.739435	-1.209909	-1.553605	-1.378204
1_61_1	-0.884177	1.002618	0.035115	-0.612248
1_62_1	-2.156493	1.000664	1.116471	1.007056
1_63_1	0.816591	-0.637483	-1.393222	-2.623653
1_64_1	0.970982	-0.740901	-1.559722	-1.899401
1_65_1	-1.722606	1.259446	1.351438	0.889686
1_66_1	0.977372	-1.282373	-1.881292	-0.757770
1_67_1	1.143477	-1.586164	-1.090409	-1.084937
1_68_1	1.190049	-1.320339	-1.051140	0.274829
1_69_1	0.943537	-0.346123	0.742755	1.556510
1_70_1	1.213055	-1.445718	-1.102070	-0.674894
1_71_1	1.056581	-1.954418	-1.472537	-1.217985
1_72_1	0.912905	-0.915101	-1.135700	-0.873318
1_73_1	0.850705	-1.343877	-1.771234	-1.043500
1_74_1	1.012781	-0.852921	-2.037082	0.096336
1_75_1	0.951680	-2.042863	-1.060323	-1.883570
1_76_1	0.980280	-2.051385	-1.949009	-1.183976
1_77_1	1.204371	-0.559190	-1.302084	0.017446
1_78_1	-1.874993	0.866436	1.126605	1.658451
1_79_1	1.011293	-1.523143	-0.560611	-2.401817
1_80_1	-1.383858	1.341525	0.990770	1.554202
1_81_1	-1.383644	1.500042	1.426375	1.099909
1_82_1	-1.000122	0.341001	-0.130311	-0.709665
1_83_1	-0.571952	-0.193166	-0.627901	-2.485474
1_84_1	-1.238919	1.379999	1.341329	1.426079
1_85_1	-1.594698	1.131251	1.036831	0.903148
1_86_1	-1.206063	1.068270	0.240830	-2.061573
1_87_1	1.157354	-1.550772	-1.352935	-1.047030
1_88_1	1.004206	-0.939206	-1.375977	-0.989724
1_89_1	1.005691	-0.638054	-2.092170	-1.443431
1_90_1	0.709741	-1.768478	-1.758360	-1.776890
1_91_1	1.079474	-1.298478	-0.059510	-0.894278
1_92_1	-1.601765	0.954949	0.978033	1.457124
1_93_1	1.022518	-1.835601	-2.042987	-1.169533
1_94_1	0.711673	-1.841961	-1.118908	-0.480580
1_95_1	1.044522	-0.339787	-1.973186	-2.167118
1_96_1	1.347751	-1.116688	-1.107910	-1.778578
1_97_1	0.963160	-0.812570	-2.316865	-0.847934
1_98_1	0.561304	-1.084833	-1.689328	-1.285625
1_99_1	1.217110	-0.994824	-1.067251	-0.691765
1_100_1	1.120820	-0.360750	-1.492799	-1.058805
1_101_1	1.001459	-1.429183	-0.454273	0.810387
1_102_1	-1.201483	1.164738	1.559146	1.242408
1_103_1	1.150686	-1.587493	-0.969642	-1.222146
1_104_1	1.019671	-0.233647	-1.020274	-1.862720
1_105_1	1.338476	-0.827263	-0.668851	-0.377969
1_106_1	1.080871	-1.432156	-1.342589	-1.932455
1_107_1	-2.336349	1.163137	0.746417	-0.082428
1_108_1	-1.091466	1.164150	1.051271	1.145921
1_109_1	0.836898	-1.419416	-1.725548	-0.408327
1_110_1	0.898204	-1.897151	-1.948624	-1.987658
1_111_1	0.970943	-1.249148	-2.023922	-2.056885
1_112_1	-1.116865	1.027025	1.418757	1.150115
1_113_1	0.870029	-1.754914	-1.930651	-1.167086
1_114_1	1.117855	-0.830598	-0.968796	-0.647049
1_115_1	-0.406070	1.031224	1.440982	0.761994
1_116_1	1.236543	-0.782359	-1.326562	-1.693009
1_117_1	-0.740412	1.071322	1.303423	0.630454
