name	GCNF	CDX2	GATA6	PBX1	KLF4	NANOG	OCT4	Oct4Sox2	SOX2
1	1	0.871350	640.340744	0.856826	5.198012	0.000247	0.000371	0.003600	0.081109	1.040772
2	2	3.073934	158.299293	0.005233	1.966571	0.000469	0.000227	0.010043	0.007657	0.604832
3	3	551.702229	312.726139	37.619949	0.085980	0.000031	0.000002	0.001052	0.033485	9.323567
4	4	15.407854	2.828909	6.191032	0.988340	0.000241	0.000001	0.074578	0.043073	0.359116
5	5	64.345797	72.380441	17.316879	1.808563	0.006987	0.000016	0.007955	0.027280	0.360441
6	6	25.027721	600.674246	2.904889	4.381215	0.000443	0.000000	0.014146	0.206401	1.172323
7	7	9.792851	46.029919	3.901681	2.421344	0.002490	0.000012	0.244552	0.026218	0.166230
8	8	0.042847	0.003146	0.001118	102.673211	66.060775	2.034933	66.515700	494.464453	250.445347
9	9	119.220374	197.989622	1.390584	2.089619	0.000926	0.000006	0.001245	0.142043	9.726245
10	10	239.567269	208.656926	62.362074	1.277230	0.031959	0.000001	0.000343	0.010507	0.078354
11	11	36.063412	242.976504	1.353269	1.152271	0.001164	0.000328	0.000391	0.077339	0.867821
12	12	0.268188	238.584250	0.028518	3.477101	0.000083	0.000027	0.041355	0.053439	1.090157
13	13	291.084256	98.009249	1.277940	0.643212	0.041657	0.000023	0.004384	0.012440	7.539354
14	14	1.388759	413.621681	0.118304	0.083209	0.009545	0.000016	0.017452	0.222515	0.838653
15	15	21.373274	236.367357	0.019998	3.549734	0.013208	0.000021	0.008868	0.007681	0.880259
16	16	4.064551	50.045068	0.078969	2.944086	0.019036	0.000209	0.011875	0.057186	3.238101
17	17	49.329200	76.003186	12.047935	2.611441	0.000163	0.000000	0.003788	0.030528	2.214182
18	18	273.496583	113.750809	10.095287	2.257181	0.006453	0.000000	0.001576	0.005103	3.335579
19	19	83.102502	78.026485	1.480135	1.810590	0.000181	0.000015	0.003459	0.059587	0.130419
20	20	5.706820	601.633462	2.894684	1.448086	0.002534	0.000013	0.065109	0.007644	2.429937
